location,threshold_hours,reserve_fraction,forecast_error_std,coldstart_count,lost_production_hours,methane_output_kwh,bess_deep_discharge,curtailed_kwh,reactor_warm_fraction_pct,reserve_active_hours
morocco,36,0.1,0.4,0,0,488005.95370160736,0,0.0,46.57534246575342,4
morocco,36,0.15,0.4,0,0,487929.4470112291,0,0.0,46.57534246575342,7
morocco,36,0.2,0.4,0,0,487778.6380285451,0,0.0,46.57534246575342,14
morocco,36,0.25,0.4,0,0,487673.668012728,0,0.0,46.57534246575342,19
morocco,36,0.3,0.4,0,0,487673.668012728,0,0.0,46.57534246575342,32
morocco,36,0.4,0.4,0,0,487053.6459165337,0,0.0,46.57534246575342,59
morocco,48,0.1,0.4,0,0,488005.95370160736,0,0.0,46.57534246575342,4
morocco,48,0.15,0.4,0,0,487929.4470112291,0,0.0,46.57534246575342,7
morocco,48,0.2,0.4,0,0,487778.6380285451,0,0.0,46.57534246575342,14
morocco,48,0.25,0.4,0,0,487673.668012728,0,0.0,46.57534246575342,19
morocco,48,0.3,0.4,0,0,487673.668012728,0,0.0,46.57534246575342,32
morocco,48,0.4,0.4,0,0,487053.6459165337,0,0.0,46.57534246575342,59
morocco,72,0.1,0.4,0,0,488005.95370160736,0,0.0,46.57534246575342,4
morocco,72,0.15,0.4,0,0,487929.4470112291,0,0.0,46.57534246575342,7
morocco,72,0.2,0.4,0,0,487778.6380285451,0,0.0,46.57534246575342,14
morocco,72,0.25,0.4,0,0,487673.668012728,0,0.0,46.57534246575342,19
morocco,72,0.3,0.4,0,0,487673.668012728,0,0.0,46.57534246575342,32
morocco,72,0.4,0.4,0,0,487053.6459165337,0,0.0,46.57534246575342,59
scotland,12,0.1,0.0,198,3051,198029.04070674372,281,161.4688790506075,30.11415525114155,4713
scotland,12,0.15,0.0,168,2757,210389.69386508618,243,150.8604497034259,32.0662100456621,4719
scotland,12,0.2,0.0,140,2422,221565.12490901933,197,114.93460143657708,33.89269406392694,4650
scotland,12,0.25,0.0,122,2203,226813.6469644071,159,58.60477351306245,34.76027397260274,4634
scotland,12,0.3,0.0,116,2037,229725.48184769115,149,67.99900490942042,35.26255707762557,4754
scotland,12,0.4,0.0,93,1712,233862.20876339093,114,28.150545444846905,36.40410958904109,4903
scotland,24,0.1,0.0,146,2358,217624.82369990856,211,109.4368479484749,33.58447488584475,4418
scotland,24,0.15,0.0,122,2082,225131.41446920283,178,92.16897270030745,34.90867579908676,4398
scotland,24,0.2,0.0,108,1933,229877.50519745727,134,83.30374659327504,35.593607305936075,4464
scotland,24,0.25,0.0,100,1824,232714.75204801082,122,59.699281669819584,36.02739726027397,4501
scotland,24,0.3,0.0,87,1625,235966.97512486615,108,37.81626019530276,36.74657534246575,4553
scotland,24,0.4,0.0,75,1423,239263.6653454265,94,81.76515048890745,37.47716894977169,4708
scotland,36,0.1,0.0,142,2253,220048.77972518923,206,106.7488537438028,33.9041095890411,4453
scotland,36,0.15,0.0,112,1974,228023.2813116362,147,73.930015687035,35.490867579908674,4439
scotland,36,0.2,0.0,106,1858,230076.99387625736,131,60.920572497341325,35.799086757990864,4494
scotland,36,0.25,0.0,82,1577,237959.279731908,102,85.04245849569534,37.04337899543379,4506
scotland,36,0.3,0.0,81,1526,238404.6450225208,98,66.31020546436598,37.20319634703196,4584
scotland,36,0.4,0.0,68,1334,240419.244142137,81,70.31946906092313,37.86529680365297,4758
scotland,48,0.1,0.0,123,2020,223994.32014115705,174,70.91343832109092,34.863013698630134,4358
scotland,48,0.15,0.0,106,1837,229282.97910067148,142,64.119862226437,35.7648401826484,4393
scotland,48,0.2,0.0,92,1658,234663.24751362044,113,90.56171832717236,36.609589041095894,4396
scotland,48,0.25,0.0,81,1514,237588.79095228916,103,73.41541589418898,37.19178082191781,4429
scotland,48,0.3,0.0,75,1422,236912.18758712633,99,71.96059022801593,37.51141552511415,4569
scotland,48,0.4,0.0,65,1277,237055.52169069552,79,64.77053854237269,38.025114155251146,4739
scotland,72,0.1,0.0,122,2012,223275.21847062325,170,77.6810554219395,34.885844748858446,4342
scotland,72,0.15,0.0,98,1756,231178.10219973538,129,62.37101631157503,36.118721461187214,4342
scotland,72,0.2,0.0,86,1556,235204.0512475887,111,74.8518513161416,36.99771689497717,4374
scotland,72,0.25,0.0,72,1372,237758.550530698,92,60.043832232611805,37.73972602739726,4403
scotland,72,0.3,0.0,71,1361,236732.06812921521,92,58.61639192214207,37.76255707762557,4558
scotland,72,0.4,0.0,64,1270,236081.81510854707,77,64.77274840331833,38.082191780821915,4769
scotland,12,0.1,0.1,230,3709,189933.8921163758,292,125.04301092423343,28.127853881278536,4364
scotland,12,0.15,0.1,214,3422,195736.75421332617,284,156.30888433990754,29.15525114155251,4524
scotland,12,0.2,0.1,201,3193,195973.96603466594,282,81.6654960365135,29.76027397260274,4697
scotland,12,0.25,0.1,183,2853,203877.65646576651,258,130.59486667760513,31.073059360730593,4650
scotland,12,0.3,0.1,149,2469,216620.8445157771,214,85.74784058337028,33.264840182648406,4534
scotland,12,0.4,0.1,109,1943,228149.9595201733,144,55.05358299420927,35.513698630136986,4523
scotland,24,0.1,0.1,222,3557,191706.7010291671,299,107.28433682908263,28.504566210045663,4394
scotland,24,0.15,0.1,210,3308,195112.92641310662,288,143.70508119298216,29.45205479452055,4533
scotland,24,0.2,0.1,197,3050,198794.0385715885,276,159.08113898353525,30.30821917808219,4664
scotland,24,0.25,0.1,160,2593,214432.13457606584,243,113.01096903256001,32.62557077625571,4463
scotland,24,0.3,0.1,134,2301,222594.5003981397,200,96.40938736575305,34.18949771689498,4438
scotland,24,0.4,0.1,106,1902,229331.26336925244,136,87.99511008663322,35.742009132420094,4551
scotland,36,0.1,0.1,224,3556,192083.458253959,302,133.71338685711973,28.447488584474883,4411
scotland,36,0.15,0.1,210,3292,194470.92874443263,290,172.00309176234313,29.406392694063925,4546
scotland,36,0.2,0.1,196,3002,200743.44038434833,272,177.53336940283202,30.525114155251142,4647
scotland,36,0.25,0.1,163,2591,213925.3584204949,241,147.19701700606583,32.55707762557078,4460
scotland,36,0.3,0.1,134,2290,222594.5003981397,201,84.46068678170394,34.18949771689498,4446
scotland,36,0.4,0.1,105,1884,229075.66998289354,134,96.49386759937991,35.77625570776256,4554
scotland,48,0.1,0.1,223,3548,192129.28670706457,301,134.0893242180389,28.527397260273972,4416
scotland,48,0.15,0.1,209,3286,194783.69588785287,291,175.31159719302104,29.429223744292237,4560
scotland,48,0.2,0.1,200,3045,197652.97664569877,276,162.36788900189754,30.171232876712327,4705
scotland,48,0.25,0.1,162,2577,213925.3584204949,243,148.16159756332513,32.59132420091324,4464
